,X,name,status,region,city,funding_rounds,seed,venture,equity_crowdfunding,undisclosed,convertible_note,debt_financing,angel,grant,private_equity,post_ipo_equity,post_ipo_debt,secondary_market,product_crowdfunding,round_A,round_B,round_C,round_D,round_E,round_F,round_G,round_H,total_investment,market_type,diff_funding_year,status_label,total_investment_label,diff_funding_year_label,funding_rounds_label,seed_label,venture_label,total_investment_cde,diff_funding_year_cde,funding_rounds_cde,seed_cde,venture_cde
22333,8227,PeerPong,closed,SF Bay Area,San Francisco,1,0,2800000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2800000,1,0,0,low_medium,low,low,low,medium,1,0,0,0,1
22334,4987,HN Discounts Corporation,closed,Atlanta,Lawrenceville,1,25000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,0,0,0,low,low,low,low,low,0,0,0,0,0
22335,4120,Fonemesh,closed,SF Bay Area,San Francisco,2,150000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250000,1,0.083333333,0,low,low,low,low,low,0,0,0,0,0
22336,7690,Oakland Single Parents' Network,closed,SF Bay Area,Oakland,1,5000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5000,1,0,0,low,low,low,low,low,0,0,0,0,0
22337,11282,Tidalwave Trader,closed,SF Bay Area,Mountain View,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+05,1,0,0,low,low,low,low,low,0,0,0,0,0
22338,6703,Medico.com,closed,New York City,New York,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,low,low,low,low,0,0,0,0,0
22339,6016,Lagotek,closed,Seattle,Bellevue,1,0,5063236,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10126472,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
22340,2860,Cuturia,closed,Los Angeles,Los Angeles,1,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00E+05,1,0,0,low,low,low,low,low,0,0,0,0,0
22341,458,Aldexa Therapeutics,closed,Boston,Burlington,1,0,4793666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4793666,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
22342,1041,Avieon,closed,SF Bay Area,Santa Clara,1,750000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750000,0,0,0,low_medium,low,low,high,low,1,0,0,1,0
22343,3871,Fashism,closed,New York City,New York,1,0,1.00E+06,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.00E+06,0,0,0,low_medium,low,low,low,low,1,0,0,0,0
22344,7217,MyCabbage,closed,Chicago,Chicago,2,0,950000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1550000,0,1.416666667,0,low_medium,high,low,low,low,1,1,0,0,0
22345,1349,Biofisica,closed,Atlanta,Duluth,2,0,7300000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12300000,1,1.416666667,0,high_medium,high,low,low,medium,2,1,0,0,1
22346,10476,Spotplex,closed,SF Bay Area,Santa Clara,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450000,1,0,0,low_medium,low,low,low,low,1,0,0,0,0
22347,4555,GoingOn,closed,SF Bay Area,San Francisco,3,950000,7550000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9850000,1,5.5,0,high_medium,high,high,high,medium,2,1,1,1,1
22348,9442,RouterShare,closed,SF Bay Area,Sunnyvale,2,20000,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120000,1,2.083333333,0,low,high,low,low,low,0,1,0,0,0
22349,1718,Broadchoice,closed,SF Bay Area,San Mateo,1,0,2700000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5400000,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
22350,5376,InsideAxis™,closed,SF Bay Area,Redwood City,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,low,low,low,low,low,0,0,0,0,0
22351,3733,Executive Intermediary,closed,New York City,New York,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000,0,0,0,low,low,low,low,low,0,0,0,0,0
22352,8208,Peek,closed,New York City,New York,3,0,5576096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5576096,1,3.583333333,0,high_medium,high,high,low,medium,2,1,1,0,1
22353,3587,Entertainment Media Works,closed,New York City,New York,1,0,4.00E+06,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8.00E+06,1,0,0,high_medium,low,low,low,medium,2,0,0,0,1
22354,2852,Current Media,closed,SF Bay Area,San Francisco,1,0,1.50E+07,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.00E+07,1,0,0,high,low,low,low,high,3,0,0,0,2
22355,7405,Netgamix Inc,closed,Chicago,Chicago,3,18885,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132885,0,0.666666667,0,low,low,high,low,low,0,0,1,0,0
22356,6279,LiveRSVP,closed,SF Bay Area,Sunnyvale,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,low,low,low,low,low,0,0,0,0,0
22357,11495,Trinity Biosystems,closed,SF Bay Area,Menlo Park,2,0,2.10E+07,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,49500000,1,3.25,0,high,high,low,low,high,3,1,0,0,2
22358,4460,gis.to,closed,Chicago,Chicago,1,2454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2454,0,0,0,low,low,low,low,low,0,0,0,0,0
22359,7047,MogoTix,closed,SF Bay Area,San Francisco,1,115000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115000,0,0,0,low,low,low,low,low,0,0,0,0,0
22360,12727,Zilker Labs,closed,Austin,Austin,3,0,2.70E+07,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,5.40E+07,1,2.416666667,0,high,high,high,low,high,3,1,1,0,2
22361,11004,TekTrak,closed,Los Angeles,Los Angeles,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.00E+05,1,0.416666667,0,low_medium,low,low,low,low,1,0,0,0,0
