"","name","status","region","city","funding_rounds","seed","venture","equity_crowdfunding","undisclosed","convertible_note","debt_financing","angel","grant","private_equity","post_ipo_equity","post_ipo_debt","secondary_market","product_crowdfunding","round_A","round_B","round_C","round_D","round_E","round_F","round_G","round_H","total_investment","market_type","diff_funding_year","status_label","total_investment_label","diff_funding_year_label","funding_rounds_label","seed_label","venture_label","total_investment_cde","diff_funding_year_cde","funding_rounds_cde","seed_cde","venture_cde"
"7479","Newser","operating","Chicago","Chicago",1,0,2500000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5e+06,1,0,1,"high_medium","low","low","low","medium",2,0,0,0,1
"7480","Newsle","acquired","SF Bay Area","San Francisco",4,600000,2049997,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4699994,1,1.66666666666667,2,"high_medium","high","high","high","medium",2,1,1,1,1
"7481","NewsMaven","operating","SF Bay Area","San Francisco",1,58717,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58717,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7482","Newsvine","acquired","Seattle","Seattle",1,0,1250000,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2500000,1,0,2,"low_medium","low","low","low","medium",1,0,0,0,1
"7483","NewsWhip","operating","New York City","New York",3,1100000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100000,1,2,1,"low_medium","high","high","high","low",1,1,1,1,0
"7484","Newton Peripherals","closed","Boston","Natick",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4e+05,1,0,0,"low_medium","low","low","low","low",1,0,0,0,0
"7485","NewYork60.com","operating","New York City","New York",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"low","low","low","low","low",0,0,0,0,0
"7486","Newzstand","operating","SF Bay Area","Sunnyvale",1,0,29079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29079,1,0,1,"low","low","low","low","low",0,0,0,0,0
"7487","NEXAGE","acquired","Boston","Boston",3,0,1.9e+07,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,38500000,1,4.33333333333333,2,"high","high","high","low","high",3,1,1,0,2
"7488","Nexant","operating","SF Bay Area","San Francisco",3,0,82500000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82500000,1,0.0833333333333333,1,"high","low","high","low","high",3,0,1,0,2
